playerName,playerID,slug,positionID,rookie,heightFeet,heightInches,seasonsExperience,pickRound,pickNum,isFeatured,isStartSitFeatured,isTrending,isDevyReturningToSchool,isDevyYearDecrement,oneQBValues,superflexValues,teamLongName,birthday,draftYear,byeWeek,injury,high_school,team_abbr,first_name,birth_city,practice_participation,swish_id,team,injury_body_part,metadata,active,opta_id,news_updated,injury_start_date,stats_id,depth_chart_position,status,rotoworld_id,number,gsis_id,last_name,pandascore_id,full_name,birth_date,age,team_changed_at,search_rank,search_last_name,birth_state,hashtag,college,competitions,player_id,depth_chart_order,injury_notes,fantasy_positions,practice_description,weight,yahoo_id,search_first_name,birth_country,oddsjam_id,sportradar_id,years_exp,position,rotowire_id,height,search_full_name,espn_id,sport,fantasy_data_id,injury_status,norm_name
Josh Allen,365,josh-allen-365,1,False,6,5,7,1,7,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 22296, 'traded': 24363, 'cut': 21255, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'tepp': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'teppp': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 41.0, 'tradeCount': 57, 'value': 7798, 'rank': 12, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 153794, 'traded': 39572, 'cut': 78004, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 30.0, 'tradeCount': 93, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",Buffalo Bills,832654800,2018,7.0,{'injuryCode': 1},Firebaugh (CA),,Josh,,,868199.0,BUF,,"{'channel_id': '1113708755175895040', 'rookie_year': '2018'}",True,,1754287812614.0,,868199.0,QB,Active,,17.0,00-0034857,Allen,,Josh Allen,1996-05-21,29.0,,3.0,allen,,#joshallen-NFL-BUF-17,Wyoming,[],4984,1.0,,['QB'],,237,30977.0,josh,,A13BA3AB33EE,3069db07-aa43-4503-ab11-2ae5c0002721,7.0,QB,12483.0,77,joshallen,3918298.0,nfl,19801.0,,josh allen
Ja'Marr Chase,1004,ja-marr-chase-1004,3,False,6,0,4,1,5,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 69506, 'traded': 17615, 'cut': 38408, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 24.0, 'tradeCount': 34, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 1, 'positional7DayTrend': 0, 'kept': 104059, 'traded': 76994, 'cut': 103827, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 37.0, 'tradeCount': 114, 'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",Cincinnati Bengals,951886800,2021,10.0,{'injuryCode': 1},Archbishop Rummel (LA),,Ja'Marr,,,1109979.0,CIN,,"{'channel_id': '1113708809265639424', 'rookie_year': '2021'}",True,,1754402722823.0,,,LWR,Active,,1.0,,Chase,,Ja'Marr Chase,2000-03-01,25.0,,2.0,chase,,#jamarrchase-NFL-CIN-1,LSU,[],7564,1.0,,['WR'],,205,,jamarr,,6062BDCD0B61,fa99e984-d63b-4ef4-a164-407f68a7eeaf,4.0,WR,15183.0,72,jamarrchase,,nfl,,,jamarr chase
Jayden Daniels,1552,jayden-daniels-1552,1,False,6,4,1,1,2,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 6340, 'traded': 6253, 'cut': 5154, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7520, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'tepp': {'value': 7520, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'teppp': {'value': 7520, 'rank': 15, 'positionalRank': 2, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 24.0, 'tradeCount': 33, 'value': 7520, 'rank': 13, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 36722, 'traded': 20693, 'cut': 24218, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9998, 'rank': 4, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 27.0, 'tradeCount': 83, 'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}",Washington Football Team,977115600,2024,12.0,{'injuryCode': 1},Cajon (CA),,Jayden,,,1161228.0,WAS,,"{'channel_id': '1113708699697836033', 'rookie_year': '2024'}",True,,1753296651956.0,,,QB,Active,,5.0,,Daniels,,Jayden Daniels,2000-12-18,24.0,,5.0,daniels,,#jaydendaniels-NFL-WAS-5,LSU,[],11566,1.0,,['QB'],,210,,jayden,,321C90994B10,bab8c65a-9fff-410d-8e34-dc2f636d890e,1.0,QB,17692.0,76,jaydendaniels,,nfl,,,jayden daniels
Lamar Jackson,372,lamar-jackson-372,1,False,6,2,7,1,32,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 19011, 'traded': 20729, 'cut': 20703, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7347, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'tepp': {'value': 7347, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'teppp': {'value': 7347, 'rank': 17, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 36.0, 'tradeCount': 50, 'value': 7347, 'rank': 14, 'positionalRank': 3, 'history': [], 'overallTier': 5, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 86963, 'traded': 79155, 'cut': 88239, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9737, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9737, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9737, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 34.0, 'tradeCount': 106, 'value': 9737, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}",Baltimore Ravens,852613200,2018,7.0,{'injuryCode': 1},Boynton Beach (FL),,Lamar,,,877745.0,BAL,,"{'channel_id': '1113708872868065281', 'rookie_year': '2018'}",True,,1754429426959.0,,877745.0,QB,Active,13059.0,8.0,00-0034796,Jackson,,Lamar Jackson,1997-01-07,28.0,,4.0,jackson,,#lamarjackson-NFL-BAL-8,Louisville,[],4881,1.0,,['QB'],,205,31002.0,lamar,,1C18E878DAB7,e06a9c07-453a-4bb0-a7e9-2c3a64166dad,7.0,QB,12561.0,74,lamarjackson,3916387.0,nfl,19781.0,,lamar jackson
Justin Jefferson,542,justin-jefferson-542,3,False,6,1,5,1,22,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 77963, 'traded': 13508, 'cut': 33941, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9955, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9955, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9955, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 43.0, 'tradeCount': 61, 'value': 9955, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 126343, 'traded': 66032, 'cut': 108734, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9234, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 9234, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9234, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 54.0, 'tradeCount': 169, 'value': 9234, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}",Minnesota Vikings,929509200,2020,6.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Hamstring', 'injuryReturn': 'Aug 9, 2025'}",Destrehan (LA),,Justin,,,1069535.0,MIN,Leg,"{'channel_id': '1113708708145164288', 'rookie_year': '2020'}",True,,1754510146445.0,,,LWR,Active,,18.0,,Jefferson,,Justin Jefferson,1999-06-16,26.0,,4.0,jefferson,,#justinjefferson-NFL-MIN-18,LSU,[],6794,1.0,,['WR'],,195,32692.0,justin,,450F0163A86E,4131d4ee-0318-4bb5-832a-4dec80668a4f,5.0,WR,14509.0,73,justinjefferson,4262921.0,nfl,21685.0,Questionable,justin jefferson
Bijan Robinson,1414,bijan-robinson-1414,2,False,5,11,2,1,8,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 30085, 'traded': 18820, 'cut': 26553, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 29.0, 'tradeCount': 41, 'value': 9759, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 41721, 'traded': 44398, 'cut': 45441, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 34.0, 'tradeCount': 104, 'value': 8822, 'rank': 6, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}",Atlanta Falcons,1012366800,2023,5.0,{'injuryCode': 1},Salpointe (AZ),,Bijan,,,1228244.0,ATL,,"{'channel_id': '1113708865150545921', 'rookie_year': '2023'}",True,,1753579562669.0,,,RB,Active,,7.0,,Robinson,,Bijan Robinson,2002-01-30,23.0,,3.0,robinson,,#bijanrobinson-NFL-ATL-7,Texas,[],9509,1.0,,['RB'],,215,,bijan,,61B0E77E8EAA,f78d68c2-f9da-48e7-b954-26b69efd828d,2.0,RB,16739.0,71,bijanrobinson,,nfl,,,bijan robinson
Malik Nabers,1586,malik-nabers-1586,3,False,6,0,1,1,6,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 20693, 'traded': 16329, 'cut': 16657, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 31.0, 'tradeCount': 44, 'value': 9454, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 26888, 'traded': 27835, 'cut': 26157, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 45.0, 'tradeCount': 139, 'value': 8678, 'rank': 7, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}",New York Giants,1059364800,2024,14.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Shoulder', 'injuryReturn': 'Aug 9, 2025'}",Southside (LA),,Malik,,,1286059.0,NYG,Shoulder,"{'channel_id': '1113708675647696896', 'injury_override_regular_2024_6': 'Out', 'rookie_year': '2024'}",True,,1753969838558.0,,,LWR,Active,,1.0,,Nabers,,Malik Nabers,2003-07-28,22.0,,9.0,nabers,,#maliknabers-NFL-NYG-1,LSU,[],11632,1.0,,['WR'],,200,,malik,,8838562B2670,55ef2022-50c2-465b-839e-c0f4c9e7c55c,1.0,WR,17704.0,72,maliknabers,,nfl,,Questionable,malik nabers
Jahmyr Gibbs,1415,jahmyr-gibbs-1415,2,False,5,9,2,1,12,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 23655, 'traded': 20768, 'cut': 25024, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9247, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9247, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9247, 'rank': 7, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 26.0, 'tradeCount': 36, 'value': 9247, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 2, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 36174, 'traded': 38793, 'cut': 40220, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8441, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8441, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8441, 'rank': 10, 'positionalRank': 2, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 42.0, 'tradeCount': 130, 'value': 8441, 'rank': 8, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}",Detroit Lions,1016600400,2023,8.0,{'injuryCode': 1},Dalton (GA),,Jahmyr,,,1214154.0,DET,,"{'channel_id': '1113708815989108736', 'rookie_year': '2023'}",True,,1752590430274.0,,,RB,Active,,0.0,,Gibbs,,Jahmyr Gibbs,2002-03-20,23.0,,5.0,gibbs,,#jahmyrgibbs-NFL-DET-0,Alabama,[],9221,1.0,,['RB'],,202,,jahmyr,,DA5A17B9EDF4,fef9457e-6497-47de-9bf2-cc3b95929375,2.0,RB,16808.0,69,jahmyrgibbs,,nfl,,,jahmyr gibbs
Joe Burrow,601,joe-burrow-601,1,False,6,4,5,1,1,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 20547, 'traded': 21888, 'cut': 17016, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 6436, 'rank': 31, 'positionalRank': 4, 'history': [], 'overallTier': 8, 'positionalTier': 2}, 'tepp': {'value': 6436, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 7, 'positionalTier': 2}, 'teppp': {'value': 6436, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 9, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 43.0, 'tradeCount': 61, 'value': 6436, 'rank': 30, 'positionalRank': 4, 'history': [], 'overallTier': 7, 'positionalTier': 2}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 83573, 'traded': 80758, 'cut': 79775, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}, 'tepp': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'teppp': {'value': 8249, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 4, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 42.0, 'tradeCount': 130, 'value': 8249, 'rank': 9, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}",Cincinnati Bengals,850194000,2020,10.0,{'injuryCode': 1},Athens (OH),,Joe,,,878785.0,CIN,,"{'channel_id': '1113708804110839808', 'rookie_year': '2020'}",True,,1754404522353.0,,,QB,Active,14863.0,9.0,,Burrow,,Joe Burrow,1996-12-10,28.0,,11.0,burrow,,#joeburrow-NFL-CIN-9,LSU,[],6770,1.0,,['QB'],,215,32671.0,joe,,26DF8843FD11,3023ac10-4e7f-425f-9fc5-2b8e6332c92e,5.0,QB,14442.0,76,joeburrow,3915511.0,nfl,21693.0,,joe burrow
CeeDee Lamb,546,ceedee-lamb-546,3,False,6,2,5,1,17,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 48442, 'traded': 41594, 'cut': 46804, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}, 'tepp': {'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'teppp': {'value': 8779, 'rank': 8, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 45.0, 'tradeCount': 63, 'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 1, 'positional7DayTrend': 0, 'kept': 69983, 'traded': 81028, 'cut': 83847, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8188, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8188, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8188, 'rank': 12, 'positionalRank': 4, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 51.0, 'tradeCount': 157, 'value': 8188, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 1}",Dallas Cowboys,923547600,2020,10.0,{'injuryCode': 1},Foster (TX),,CeeDee,,,1062020.0,DAL,,"{'channel_id': '1113708855537201152', 'rookie_year': '2020'}",True,,1753983339667.0,,,LWR,Active,,88.0,,Lamb,,CeeDee Lamb,1999-04-08,26.0,,6.0,lamb,,#ceedeelamb-NFL-DAL-88,Oklahoma,[],6786,1.0,,['WR'],,200,32687.0,ceedee,,85450367222D,a72ea15b-5199-4101-a300-846e1c655add,5.0,WR,14411.0,74,ceedeelamb,4241389.0,nfl,21679.0,,ceedee lamb
