playerName,playerID,slug,position,positionID,team,rookie,age,heightFeet,heightInches,weight,seasonsExperience,pickRound,pickNum,isFeatured,isStartSitFeatured,isTrending,isDevyReturningToSchool,isDevyYearDecrement,oneQBValues,superflexValues,number,teamLongName,birthday,draftYear,college,byeWeek,injury,norm_name
Josh Allen,365,josh-allen-365,QB,1,BUF,False,29.2,6,5,237,7,1,7,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 22296, 'traded': 24363, 'cut': 21255, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'tepp': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'teppp': {'value': 7798, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 41.0, 'tradeCount': 57, 'value': 7798, 'rank': 12, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 153794, 'traded': 39572, 'cut': 78004, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 30.0, 'tradeCount': 93, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",17,Buffalo Bills,832654800,2018,Wyoming,7.0,{'injuryCode': 1},josh allen
Ja'Marr Chase,1004,ja-marr-chase-1004,WR,3,CIN,False,25.4,6,0,205,4,1,5,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 69506, 'traded': 17615, 'cut': 38408, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 24.0, 'tradeCount': 34, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 1, 'positional7DayTrend': 0, 'kept': 104059, 'traded': 76994, 'cut': 103827, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 37.0, 'tradeCount': 114, 'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",1,Cincinnati Bengals,951886800,2021,LSU,10.0,{'injuryCode': 1},jamarr chase
Jayden Daniels,1552,jayden-daniels-1552,QB,1,WAS,False,24.6,6,4,210,1,1,2,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 6340, 'traded': 6253, 'cut': 5154, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7520, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'tepp': {'value': 7520, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'teppp': {'value': 7520, 'rank': 15, 'positionalRank': 2, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 24.0, 'tradeCount': 33, 'value': 7520, 'rank': 13, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 36722, 'traded': 20693, 'cut': 24218, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9998, 'rank': 4, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 27.0, 'tradeCount': 83, 'value': 9998, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}",5,Washington Football Team,977115600,2024,LSU,12.0,{'injuryCode': 1},jayden daniels
Lamar Jackson,372,lamar-jackson-372,QB,1,BAL,False,28.6,6,2,205,7,1,32,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 19011, 'traded': 20729, 'cut': 20703, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7347, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'tepp': {'value': 7347, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'teppp': {'value': 7347, 'rank': 17, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 36.0, 'tradeCount': 50, 'value': 7347, 'rank': 14, 'positionalRank': 3, 'history': [], 'overallTier': 5, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 86963, 'traded': 79155, 'cut': 88239, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9737, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9737, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9737, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 34.0, 'tradeCount': 106, 'value': 9737, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}",8,Baltimore Ravens,852613200,2018,Louisville,7.0,{'injuryCode': 1},lamar jackson
Justin Jefferson,542,justin-jefferson-542,WR,3,MIN,False,26.1,6,1,195,5,1,22,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 77963, 'traded': 13508, 'cut': 33941, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9955, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9955, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9955, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 43.0, 'tradeCount': 61, 'value': 9955, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 126343, 'traded': 66032, 'cut': 108734, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9234, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 9234, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9234, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 54.0, 'tradeCount': 169, 'value': 9234, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}",18,Minnesota Vikings,929509200,2020,LSU,6.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Hamstring', 'injuryReturn': 'Aug 9, 2025'}",justin jefferson
Bijan Robinson,1414,bijan-robinson-1414,RB,2,ATL,False,23.5,5,11,215,2,1,8,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 30085, 'traded': 18820, 'cut': 26553, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9759, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 29.0, 'tradeCount': 41, 'value': 9759, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 41721, 'traded': 44398, 'cut': 45441, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8822, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 34.0, 'tradeCount': 104, 'value': 8822, 'rank': 6, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}",7,Atlanta Falcons,1012366800,2023,Texas,5.0,{'injuryCode': 1},bijan robinson
Malik Nabers,1586,malik-nabers-1586,WR,3,NYG,False,22.0,6,0,200,1,1,6,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 20693, 'traded': 16329, 'cut': 16657, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9454, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 31.0, 'tradeCount': 44, 'value': 9454, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 26888, 'traded': 27835, 'cut': 26157, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8678, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 45.0, 'tradeCount': 139, 'value': 8678, 'rank': 7, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}",1,New York Giants,1059364800,2024,LSU,14.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Shoulder', 'injuryReturn': 'Aug 9, 2025'}",malik nabers
Jahmyr Gibbs,1415,jahmyr-gibbs-1415,RB,2,DET,False,23.4,5,9,202,2,1,12,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 23655, 'traded': 20768, 'cut': 25024, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9247, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9247, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9247, 'rank': 7, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 26.0, 'tradeCount': 36, 'value': 9247, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 2, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 36174, 'traded': 38793, 'cut': 40220, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8441, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8441, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8441, 'rank': 10, 'positionalRank': 2, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 42.0, 'tradeCount': 130, 'value': 8441, 'rank': 8, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}",26,Detroit Lions,1016600400,2023,Alabama,8.0,{'injuryCode': 1},jahmyr gibbs
Joe Burrow,601,joe-burrow-601,QB,1,CIN,False,28.6,6,4,215,5,1,1,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 20547, 'traded': 21888, 'cut': 17016, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 6436, 'rank': 31, 'positionalRank': 4, 'history': [], 'overallTier': 8, 'positionalTier': 2}, 'tepp': {'value': 6436, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 7, 'positionalTier': 2}, 'teppp': {'value': 6436, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 9, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 43.0, 'tradeCount': 61, 'value': 6436, 'rank': 30, 'positionalRank': 4, 'history': [], 'overallTier': 7, 'positionalTier': 2}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 83573, 'traded': 80758, 'cut': 79775, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}, 'tepp': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'teppp': {'value': 8249, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 4, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 42.0, 'tradeCount': 130, 'value': 8249, 'rank': 9, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}",9,Cincinnati Bengals,850194000,2020,LSU,10.0,{'injuryCode': 1},joe burrow
CeeDee Lamb,546,ceedee-lamb-546,WR,3,DAL,False,26.3,6,2,200,5,1,17,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 48442, 'traded': 41594, 'cut': 46804, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}, 'tepp': {'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'teppp': {'value': 8779, 'rank': 8, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 45.0, 'tradeCount': 63, 'value': 8779, 'rank': 7, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 1, 'positional7DayTrend': 0, 'kept': 69983, 'traded': 81028, 'cut': 83847, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8188, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8188, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8188, 'rank': 12, 'positionalRank': 4, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 51.0, 'tradeCount': 157, 'value': 8188, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 1}",88,Dallas Cowboys,923547600,2020,Oklahoma,10.0,{'injuryCode': 1},ceedee lamb
