competitions,news_updated,gsis_id,years_exp,last_name,weight,depth_chart_position,depth_chart_order,age,active,injury_notes,college,sportradar_id,first_name,practice_description,kalshi_id,player_id,stats_id,status,team_abbr,injury_body_part,metadata,search_last_name,birth_date,team_changed_at,birth_city,rotoworld_id,oddsjam_id,search_first_name,injury_start_date,espn_id,sport,height,opta_id,birth_state,team,injury_status,search_rank,fantasy_data_id,high_school,swish_id,position,hashtag,rotowire_id,number,birth_country,practice_participation,full_name,search_full_name,pandascore_id,fantasy_positions,yahoo_id,norm_name
[],, 00-0035057,3.0,Richardson,245,,,26.0,True,,Georgia Southern,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,Ellis,,,6462,887183.0,Active,,,{'channel_id': '1116853254748110848'},richardson,1995-02-12,,,,,ellis,,3926590.0,nfl,75,,,,,9999999.0,21427.0,Douglas County,,TE,#ellisrichardson-NFL-FA-45,14134.0,45.0,,,Ellis Richardson,ellisrichardson,,['TE'],32262.0,ellis richardson
[],,,0.0,Amoah,306,,,,True,,UC Davis,55510c00-ead2-11ed-999e-03b49558b5db,Nick,,,11255,,Active,,,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",amoah,,,,,,nick,,,nfl,74,,,,,9999999.0,,Davis (CA),1052592.0,OL,#nickamoah-NFL-FA-0,,0.0,,,Nick Amoah,nickamoah,,['OL'],,nick amoah
[],1653351613345.0,,1.0,Morrison,186,,,,True,,Army,3c804b10-d3a8-11ec-96a0-c3471a31202c,Malkelm,,,8842,,Injured Reserve,,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",morrison,,,,,,malkelm,,,nfl,70,,,,,9999999.0,,Iona Prep (NY),1131137.0,CB,#malkelmmorrison-NFL-FA-0,16558.0,0.0,,,Malkelm Morrison,malkelmmorrison,,['DB'],,malkelm morrison
[],1631568053348.0,,1.0,Tucker,250,,,24.0,True,,Alabama,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,Carl,,,7926,,Active,,,{'channel_id': '1116853436709601280'},tucker,1997-02-06,,,,,carl,,,nfl,74,,,,,426.0,,Hough (NC),866047.0,TE,#carltucker-NFL-FA-0,15412.0,0.0,,,Carl Tucker,carltucker,,['TE'],,carl tucker
[],1750349738286.0,00-0031296,11.0,Mosley,231,,,32.0,True,,Alabama,bf5f7564-349a-439a-a8a9-4ddb10448a8d,C.J.,,,1875,,Active,,Neck,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",mosley,1992-06-19,,,9631.0,97CDFFA7FA4D,cj,,16720.0,nfl,74,,,,Questionable,216.0,16093.0,Theodore (AL),557173.0,LB,#cjmosley-NFL-FA-57,9380.0,57.0,,,C.J. Mosley,cjmosley,,['LB'],27545.0,cj mosley
[],1737226242174.0,,3.0,Womack,189,NB,2.0,26.0,True,,Toledo,75c1ed8d-4f05-43c1-b398-f212984b6b8b,Samuel,,145c0fc1-a15b-4eee-886b-11170df2500b,8478,,Active,,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",womack,1999-07-07,,,,0823DA35726D,samuel,,,nfl,70,,,TEN,,631.0,23606.0,East English Village Prep (MI),1085180.0,CB,#samuelwomack-NFL-TEN-35,16274.0,35.0,,,Samuel Womack,samuelwomack,,['DB'],,samuel womack
[],1578330037366.0,00-0028445,11.0,Parker,206,,,34.0,False,,Newberry,e9a0297a-0b34-4c55-af1f-ca113d672195,Ron,,,995,512802.0,Injured Reserve,,,,parker,1987-08-17,,,6811.0,,ron,,14297.0,nfl,72,,,,,9999999.0,13476.0,Beaufort (SC),,FS,#ronparker-NFL-FA-0,7817.0,0.0,,,Ron Parker,ronparker,,['DB'],25090.0,ron parker
[],1707165960874.0,00-0030496,9.0,Bell,225,,,29.0,True,,Michigan State,7735c02a-ee75-447c-86e6-6c2168500050,Le'Veon,,,1408,543654.0,Active,,,{'channel_id': '1116852736248250368'},bell,1992-02-18,,,8390.0,,leveon,,15825.0,nfl,73,,,TB,,235.0,14967.0,Groveport Madison (OH),543654.0,RB,#leveonbell-NFL-TB-6,8617.0,6.0,,,Le'Veon Bell,leveonbell,,['RB'],26671.0,leveon bell
[],1629836727949.0,,1.0,Seybert,252,,,24.0,True,,Michigan State,22ec09a7-6001-43b7-adf9-cf0df941ad0e,Matt,,,8074,,Active,,,{'channel_id': '1116853462399713280'},seybert,1997-05-02,,,,,matt,,,nfl,76,,,,,,,St. Francis (MI),,TE,#mattseybert-NFL-FA-41,15785.0,41.0,,,Matt Seybert,mattseybert,,['TE'],,matt seybert
[],1534088707204.0,00-0025557,13.0,Gay,187,,,35.0,False,,Louisville,a2907a39-139b-483f-8369-e278c26a6951,William,,,156,229499.0,Inactive,,,,gay,1985-01-01,,,4319.0,,william,,10613.0,nfl,"5'10""",,,,,9999999.0,4122.0,James R. Rickards (FL),,CB,#williamgay-NFL-FA-25,6211.0,25.0,,,William Gay,williamgay,,['DB'],8424.0,william gay
