playerName,playerID,slug,position,positionID,team,rookie,age,heightFeet,heightInches,weight,seasonsExperience,pickRound,pickNum,isFeatured,isStartSitFeatured,isTrending,isDevyReturningToSchool,isDevyYearDecrement,oneQBValues,superflexValues,number,teamLongName,birthday,draftYear,college,byeWeek,injury
Ja'Marr Chase,1004,ja-marr-chase-1004,WR,3,CIN,False,25.4,6,0,205,4,1,5,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 69431, 'traded': 17611, 'cut': 38390, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 27.0, 'tradeCount': 40, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 2, 'positionalTrend': 0, 'overall7DayTrend': 2, 'positional7DayTrend': 0, 'kept': 103947, 'traded': 76980, 'cut': 103766, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 37.0, 'tradeCount': 112, 'value': 9999, 'rank': 1, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",1,Cincinnati Bengals,951886800,2021,LSU,10.0,{'injuryCode': 1}
Josh Allen,365,josh-allen-365,QB,1,BUF,False,29.2,6,5,237,7,1,7,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 22286, 'traded': 24344, 'cut': 21245, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7826, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'tepp': {'value': 7826, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}, 'teppp': {'value': 7826, 'rank': 13, 'positionalRank': 1, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 39.0, 'tradeCount': 59, 'value': 7826, 'rank': 12, 'positionalRank': 1, 'history': [], 'overallTier': 4, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 153664, 'traded': 39527, 'cut': 77943, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9995, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9995, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9995, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 31.0, 'tradeCount': 95, 'value': 9995, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}",17,Buffalo Bills,832654800,2018,Wyoming,7.0,{'injuryCode': 1}
Jayden Daniels,1552,jayden-daniels-1552,QB,1,WAS,False,24.6,6,4,210,1,1,2,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 6327, 'traded': 6233, 'cut': 5144, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7532, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'tepp': {'value': 7532, 'rank': 14, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}, 'teppp': {'value': 7532, 'rank': 15, 'positionalRank': 2, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 22.0, 'tradeCount': 33, 'value': 7532, 'rank': 13, 'positionalRank': 2, 'history': [], 'overallTier': 5, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 36599, 'traded': 20652, 'cut': 24164, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9940, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9940, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9940, 'rank': 4, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 26.0, 'tradeCount': 80, 'value': 9940, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}",5,Washington Football Team,977115600,2024,LSU,12.0,{'injuryCode': 1}
Lamar Jackson,372,lamar-jackson-372,QB,1,BAL,False,28.6,6,2,205,7,1,32,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 18995, 'traded': 20715, 'cut': 20689, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 7335, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'tepp': {'value': 7335, 'rank': 15, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}, 'teppp': {'value': 7335, 'rank': 17, 'positionalRank': 3, 'history': [], 'overallTier': 7, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 27.0, 'tradeCount': 40, 'value': 7335, 'rank': 14, 'positionalRank': 3, 'history': [], 'overallTier': 6, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 86854, 'traded': 79099, 'cut': 88152, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9756, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9756, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9756, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 31.0, 'tradeCount': 96, 'value': 9756, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}",8,Baltimore Ravens,852613200,2018,Louisville,7.0,{'injuryCode': 1}
Justin Jefferson,542,justin-jefferson-542,WR,3,MIN,False,26.1,6,1,195,5,1,22,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 77905, 'traded': 13482, 'cut': 33894, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9959, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9959, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9959, 'rank': 3, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 43.0, 'tradeCount': 65, 'value': 9959, 'rank': 2, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 126274, 'traded': 65985, 'cut': 108641, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9207, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 9207, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9207, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 53.0, 'tradeCount': 162, 'value': 9207, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}",18,Minnesota Vikings,929509200,2020,LSU,6.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Hamstring', 'injuryReturn': 'Aug 9, 2025'}"
Bijan Robinson,1414,bijan-robinson-1414,RB,2,ATL,False,23.5,5,11,215,2,1,8,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 30034, 'traded': 18798, 'cut': 26498, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9753, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9753, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9753, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 27.0, 'tradeCount': 40, 'value': 9753, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 41671, 'traded': 44338, 'cut': 45356, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8855, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8855, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8855, 'rank': 7, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 36.0, 'tradeCount': 110, 'value': 8855, 'rank': 6, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}",7,Atlanta Falcons,1012366800,2023,Texas,5.0,{'injuryCode': 1}
Malik Nabers,1586,malik-nabers-1586,WR,3,NYG,False,22.0,6,0,200,1,1,6,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 20634, 'traded': 16294, 'cut': 16617, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9435, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9435, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9435, 'rank': 5, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 34.0, 'tradeCount': 51, 'value': 9435, 'rank': 4, 'positionalRank': 3, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 26816, 'traded': 27776, 'cut': 26084, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8630, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8630, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8630, 'rank': 8, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 45.0, 'tradeCount': 137, 'value': 8630, 'rank': 7, 'positionalRank': 3, 'history': [], 'overallTier': 3, 'positionalTier': 1}",1,New York Giants,1059364800,2024,LSU,14.0,"{'injuryName': 'Questionable', 'injuryCode': 2, 'injuryArea': 'Shoulder', 'injuryReturn': 'Aug 9, 2025'}"
Jahmyr Gibbs,1415,jahmyr-gibbs-1415,RB,2,DET,False,23.4,5,9,202,2,1,12,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 23599, 'traded': 20730, 'cut': 24971, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9233, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9233, 'rank': 6, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'teppp': {'value': 9233, 'rank': 7, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 31.0, 'tradeCount': 46, 'value': 9233, 'rank': 5, 'positionalRank': 2, 'history': [], 'overallTier': 1, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': 2, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 36104, 'traded': 38730, 'cut': 40173, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8424, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 8424, 'rank': 9, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'teppp': {'value': 8424, 'rank': 10, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 41.0, 'tradeCount': 124, 'value': 8424, 'rank': 8, 'positionalRank': 2, 'history': [], 'overallTier': 3, 'positionalTier': 1}",26,Detroit Lions,1016600400,2023,Alabama,8.0,{'injuryCode': 1}
Joe Burrow,601,joe-burrow-601,QB,1,CIN,False,28.6,6,4,215,5,1,1,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': -1, 'positional7DayTrend': 0, 'kept': 20533, 'traded': 21869, 'cut': 17001, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 6452, 'rank': 31, 'positionalRank': 4, 'history': [], 'overallTier': 8, 'positionalTier': 2}, 'tepp': {'value': 6452, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 7, 'positionalTier': 2}, 'teppp': {'value': 6452, 'rank': 34, 'positionalRank': 4, 'history': [], 'overallTier': 9, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 37.0, 'tradeCount': 56, 'value': 6452, 'rank': 30, 'positionalRank': 4, 'history': [], 'overallTier': 8, 'positionalTier': 2}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 83510, 'traded': 80684, 'cut': 79714, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 2, 'positionalTier': 2}, 'tepp': {'value': 8249, 'rank': 10, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'teppp': {'value': 8249, 'rank': 11, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}, 'rawLiquidity': 0.0, 'stdLiquidity': 41.0, 'tradeCount': 125, 'value': 8249, 'rank': 9, 'positionalRank': 4, 'history': [], 'overallTier': 3, 'positionalTier': 2}",9,Cincinnati Bengals,850194000,2020,LSU,10.0,{'injuryCode': 1}
Brock Bowers,1612,brock-bowers-1612,TE,4,LVR,False,22.6,6,4,230,1,1,13,False,False,False,False,False,"{'startSitValue': 0, 'overallTrend': 0, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 19851, 'traded': 17870, 'cut': 16225, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9766, 'rank': 3, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'tepp': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 25.0, 'tradeCount': 38, 'value': 8830, 'rank': 6, 'positionalRank': 1, 'history': [], 'overallTier': 2, 'positionalTier': 1}","{'startSitValue': 0, 'overallTrend': -1, 'positionalTrend': 0, 'overall7DayTrend': 0, 'positional7DayTrend': 0, 'kept': 24547, 'traded': 24037, 'cut': 21705, 'diff': 0, 'isOutThisWeek': False, 'tep': {'value': 9094, 'rank': 6, 'positionalRank': 1, 'history': [], 'overallTier': 2, 'positionalTier': 1}, 'tepp': {'value': 9937, 'rank': 4, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'teppp': {'value': 9999, 'rank': 2, 'positionalRank': 1, 'history': [], 'overallTier': 1, 'positionalTier': 1}, 'rawLiquidity': 0.0, 'stdLiquidity': 29.0, 'tradeCount': 87, 'value': 8217, 'rank': 10, 'positionalRank': 1, 'history': [], 'overallTier': 3, 'positionalTier': 1}",89,Las Vegas Raiders,1039755600,2024,Georgia,8.0,{'injuryCode': 1}
