college,team_changed_at,team,first_name,full_name,birth_state,birth_date,swish_id,search_last_name,age,team_abbr,injury_start_date,metadata,active,gsis_id,injury_notes,opta_id,news_updated,sport,depth_chart_order,status,stats_id,number,fantasy_positions,rotowire_id,last_name,search_full_name,oddsjam_id,weight,height,birth_city,search_rank,injury_status,player_id,birth_country,depth_chart_position,years_exp,injury_body_part,practice_participation,pandascore_id,high_school,search_first_name,competitions,fantasy_data_id,position,espn_id,practice_description,yahoo_id,sportradar_id,hashtag,rotoworld_id
Georgia Southern,,,Ellis,Ellis Richardson,,1995-02-12,,richardson,26.0,,,{'channel_id': '1116853254748110848'},True, 00-0035057,,,,nfl,,Active,887183.0,45.0,['TE'],14134.0,Richardson,ellisrichardson,,245,75,,9999999.0,,6462,,,3.0,,,,Douglas County,ellis,[],21427.0,TE,3926590.0,,32262.0,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,#ellisrichardson-NFL-FA-45,
UC Davis,,,Nick,Nick Amoah,,,1052592.0,amoah,,,,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",True,,,,,nfl,,Active,,0.0,['OL'],,Amoah,nickamoah,,306,74,,9999999.0,,11255,,,0.0,,,,Davis (CA),nick,[],,OL,,,,55510c00-ead2-11ed-999e-03b49558b5db,#nickamoah-NFL-FA-0,
Army,,,Malkelm,Malkelm Morrison,,,1131137.0,morrison,,,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",True,,,,1653351613345.0,nfl,,Injured Reserve,,0.0,['DB'],16558.0,Morrison,malkelmmorrison,,186,70,,9999999.0,,8842,,,1.0,,,,Iona Prep (NY),malkelm,[],,CB,,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,#malkelmmorrison-NFL-FA-0,
Alabama,,,Carl,Carl Tucker,,1997-02-06,866047.0,tucker,24.0,,,{'channel_id': '1116853436709601280'},True,,,,1631568053348.0,nfl,,Active,,0.0,['TE'],15412.0,Tucker,carltucker,,250,74,,426.0,,7926,,,1.0,,,,Hough (NC),carl,[],,TE,,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,#carltucker-NFL-FA-0,
Alabama,,,C.J.,C.J. Mosley,,1992-06-19,557173.0,mosley,32.0,,,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",True,00-0031296,,,1750349738286.0,nfl,,Active,,57.0,['LB'],9380.0,Mosley,cjmosley,97CDFFA7FA4D,231,74,,216.0,Questionable,1875,,,11.0,Neck,,,Theodore (AL),cj,[],16093.0,LB,16720.0,,27545.0,bf5f7564-349a-439a-a8a9-4ddb10448a8d,#cjmosley-NFL-FA-57,9631.0
Toledo,,IND,Samuel,Samuel Womack,,1999-07-07,1085180.0,womack,26.0,,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",True,,,,1737226242174.0,nfl,2.0,Active,,33.0,['DB'],16274.0,Womack,samuelwomack,0823DA35726D,189,70,,9999999.0,,8478,,NB,3.0,,,,East English Village Prep (MI),samuel,[],,CB,,,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,#samuelwomack-NFL-IND-33,
Newberry,,,Ron,Ron Parker,,1987-08-17,,parker,34.0,,,,False,00-0028445,,,1578330037366.0,nfl,,Injured Reserve,512802.0,0.0,['DB'],7817.0,Parker,ronparker,,206,72,,9999999.0,,995,,,11.0,,,,Beaufort (SC),ron,[],13476.0,FS,14297.0,,25090.0,e9a0297a-0b34-4c55-af1f-ca113d672195,#ronparker-NFL-FA-0,6811.0
Michigan State,,TB,Le'Veon,Le'Veon Bell,,1992-02-18,543654.0,bell,29.0,,,{'channel_id': '1116852736248250368'},True,00-0030496,,,1707165960874.0,nfl,,Active,543654.0,6.0,['RB'],8617.0,Bell,leveonbell,,225,73,,235.0,,1408,,,9.0,,,,Groveport Madison (OH),leveon,[],14967.0,RB,15825.0,,26671.0,7735c02a-ee75-447c-86e6-6c2168500050,#leveonbell-NFL-TB-6,8390.0
Michigan State,,,Matt,Matt Seybert,,1997-05-02,,seybert,24.0,,,{'channel_id': '1116853462399713280'},True,,,,1629836727949.0,nfl,,Active,,41.0,['TE'],15785.0,Seybert,mattseybert,,252,76,,,,8074,,,1.0,,,,St. Francis (MI),matt,[],,TE,,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,#mattseybert-NFL-FA-41,
Louisville,,,William,William Gay,,1985-01-01,,gay,35.0,,,,False,00-0025557,,,1534088707204.0,nfl,,Inactive,229499.0,25.0,['DB'],6211.0,Gay,williamgay,,187,"5'10""",,9999999.0,,156,,,13.0,,,,James R. Rickards (FL),william,[],4122.0,CB,10613.0,,8424.0,a2907a39-139b-483f-8369-e278c26a6951,#williamgay-NFL-FA-25,4319.0
